Time [microseconds],Accelerometer ID,X Acceleration,Y Acceleration,Z Acceleration
176878474.0,3,0.01123,-0.586914,0.820312
176878946.0,1,-0.075974,-0.047984,0.959672
176879015.0,2,0.023992,-0.003999,1.003657
176879042.0,3,0.008789,-0.586914,0.820312
176879513.0,1,-0.075974,-0.047984,0.959672
176879582.0,2,0.023992,-0.003999,1.003657
176879609.0,3,0.010742,-0.58252,0.816895
176880079.0,1,-0.075974,-0.047984,0.959672
176880148.0,2,0.023992,-0.003999,1.003657
176880175.0,3,0.008301,-0.583008,0.819336
176880645.0,1,-0.075974,-0.039986,0.951675
176880714.0,2,0.023992,-0.003999,1.003657
176880741.0,3,0.012207,-0.586914,0.819824
176881210.0,1,-0.075974,-0.039986,0.951675
176881279.0,2,0.023992,-0.003999,1.003657
176881306.0,3,0.008301,-0.585449,0.818848
176881776.0,1,-0.075974,-0.039986,0.951675
176881845.0,2,0.023992,-0.003999,1.003657
176881872.0,3,0.009766,-0.585449,0.819824
176882341.0,1,-0.075974,-0.039986,0.951675
176882410.0,2,0.023992,-0.003999,1.003657
176882437.0,3,0.01123,-0.583496,0.818359
176882907.0,1,-0.075974,-0.039986,0.951675
176882976.0,2,0.023992,-0.003999,1.003657
176883003.0,3,0.010254,-0.587891,0.822754
176883473.0,1,-0.075974,-0.039986,0.951675
176883542.0,2,0.023992,-0.003999,1.003657
176883569.0,3,0.01123,-0.588379,0.820312
176884040.0,1,-0.075974,-0.039986,0.951675
176884109.0,2,0.023992,-0.003999,1.003657
176884136.0,3,0.01123,-0.584961,0.822266
176884606.0,1,-0.075974,-0.039986,0.951675
176884675.0,2,0.023992,-0.003999,1.003657
176884702.0,3,0.008301,-0.584961,0.82373
176885171.0,1,-0.075974,-0.039986,0.951675
176885240.0,2,0.023992,-0.003999,1.003657
176885267.0,3,0.007324,-0.586426,0.820801
176885737.0,1,-0.075974,-0.039986,0.951675
176885806.0,2,0.023992,-0.003999,1.003657
176885833.0,3,0.011719,-0.589355,0.821289
176886303.0,1,-0.075974,-0.039986,0.951675
176886372.0,2,0.023992,-0.003999,1.003657
176886399.0,3,0.012207,-0.591797,0.821289
176886868.0,1,-0.075974,-0.039986,0.951675
176886937.0,2,0.019993,-0.003999,1.003657
176886964.0,3,0.012207,-0.592285,0.822266
176887434.0,1,-0.075974,-0.039986,0.951675
176887503.0,2,0.019993,-0.003999,1.003657
176887530.0,3,0.012207,-0.588867,0.825195
176888000.0,1,-0.075974,-0.039986,0.951675
176888069.0,2,0.019993,-0.003999,1.003657
176888096.0,3,0.012695,-0.590332,0.820801
176888565.0,1,-0.075974,-0.039986,0.951675
176888634.0,2,0.019993,-0.003999,1.003657
176888661.0,3,0.009766,-0.590332,0.82373
176889131.0,1,-0.075974,-0.039986,0.951675
176889200.0,2,0.019993,-0.003999,1.003657
176889227.0,3,0.01123,-0.591309,0.822266
176889697.0,1,-0.075974,-0.039986,0.951675
176889766.0,2,0.019993,-0.003999,1.003657
176889793.0,3,0.01123,-0.59082,0.822754
176890262.0,1,-0.079973,-0.039986,0.951675
176890331.0,2,0.019993,-0.003999,1.003657
176890358.0,3,0.011719,-0.588379,0.824219
176890828.0,1,-0.079973,-0.039986,0.951675
176890897.0,2,0.019993,-0.003999,1.003657
176890924.0,3,0.010742,-0.589355,0.824707
176891394.0,1,-0.079973,-0.039986,0.951675
176891463.0,2,0.019993,-0.003999,1.003657
176891490.0,3,0.010742,-0.591309,0.825684
176891959.0,1,-0.079973,-0.039986,0.951675
176892028.0,2,0.019993,-0.003999,1.003657
176892055.0,3,0.011719,-0.586914,0.822266
176892525.0,1,-0.079973,-0.039986,0.951675
176892594.0,2,0.019993,-0.003999,1.003657
176892621.0,3,0.013184,-0.589355,0.820801
176893091.0,1,-0.079973,-0.039986,0.951675
176893160.0,2,0.019993,-0.003999,1.003657
176893187.0,3,0.010254,-0.584961,0.822754
176893656.0,1,-0.079973,-0.039986,0.951675
176893725.0,2,0.019993,-0.003999,1.003657
176893752.0,3,0.008789,-0.588379,0.820312
176894224.0,1,-0.079973,-0.039986,0.951675
176894293.0,2,0.019993,-0.003999,1.003657
176894320.0,3,0.009766,-0.588867,0.822266
176894789.0,1,-0.079973,-0.039986,0.951675
176894858.0,2,0.019993,-0.003999,1.003657
176894885.0,3,0.010254,-0.587891,0.820801
176895355.0,1,-0.079973,-0.039986,0.951675
176895424.0,2,0.019993,-0.003999,1.003657
176895451.0,3,0.009766,-0.586914,0.821289
176895921.0,1,-0.079973,-0.039986,0.951675
176895990.0,2,0.019993,-0.003999,1.003657
176896017.0,3,0.006836,-0.585449,0.820312
176896488.0,1,-0.079973,-0.039986,0.951675
176896557.0,2,0.019993,-0.003999,1.003657
176896584.0,3,0.009277,-0.586426,0.824219
176897054.0,1,-0.079973,-0.039986,0.951675
176897123.0,2,0.023992,-0.003999,0.999658
176897150.0,3,0.009766,-0.587891,0.82373
176897619.0,1,-0.079973,-0.039986,0.951675
176897688.0,2,0.023992,-0.003999,0.999658
176897715.0,3,0.008789,-0.587891,0.822754
176898185.0,1,-0.079973,-0.039986,0.951675
176898254.0,2,0.023992,-0.003999,0.999658
176898281.0,3,0.012207,-0.586426,0.821777
176898750.0,1,-0.079973,-0.039986,0.951675
176898819.0,2,0.023992,-0.003999,0.999658
176898846.0,3,0.009277,-0.587891,0.824219
176899316.0,1,-0.079973,-0.039986,0.951675
176899385.0,2,0.023992,-0.003999,0.999658
176899412.0,3,0.011719,-0.587891,0.821777
176899882.0,1,-0.079973,-0.039986,0.951675
176899950.0,2,0.023992,-0.003999,0.999658
176899977.0,3,0.010742,-0.591797,0.819824
176900447.0,1,-0.079973,-0.039986,0.967669
176900516.0,2,0.023992,-0.003999,0.999658
176900543.0,3,0.010254,-0.589355,0.821289
176901013.0,1,-0.079973,-0.039986,0.967669
176901082.0,2,0.023992,-0.003999,0.999658
176901109.0,3,0.011719,-0.589844,0.82373
176901578.0,1,-0.079973,-0.039986,0.967669
176901647.0,2,0.023992,-0.003999,0.999658
176901674.0,3,0.010254,-0.588379,0.82666
176902144.0,1,-0.079973,-0.039986,0.967669
176902213.0,2,0.023992,-0.003999,0.999658
176902240.0,3,0.010254,-0.591309,0.824707
176902710.0,1,-0.079973,-0.039986,0.967669
176902779.0,2,0.023992,-0.003999,0.999658
176902806.0,3,0.010742,-0.59082,0.825195
176903275.0,1,-0.079973,-0.039986,0.967669
176903344.0,2,0.023992,-0.003999,0.999658
176903371.0,3,0.010742,-0.592773,0.826172
176903841.0,1,-0.079973,-0.039986,0.967669
176903910.0,2,0.023992,-0.003999,0.999658
176903937.0,3,0.012207,-0.589355,0.824707
176904407.0,1,-0.079973,-0.039986,0.967669
176904476.0,2,0.023992,-0.003999,0.999658
176904502.0,3,0.011719,-0.594238,0.82373
176904972.0,1,-0.079973,-0.039986,0.967669
176905041.0,2,0.023992,-0.003999,0.999658
176905068.0,3,0.010254,-0.591309,0.82373
176905538.0,1,-0.079973,-0.039986,0.967669
176905607.0,2,0.023992,-0.003999,0.999658
176905634.0,3,0.010254,-0.589355,0.825195
176906103.0,1,-0.079973,-0.039986,0.967669
176906172.0,2,0.023992,-0.003999,0.999658
176906199.0,3,0.010254,-0.586426,0.822266
176906669.0,1,-0.079973,-0.039986,0.967669
176906738.0,2,0.023992,-0.003999,0.999658
176906765.0,3,0.010254,-0.586426,0.821289
176907235.0,1,-0.079973,-0.039986,0.967669
176907304.0,2,0.02799,0.0,0.99566
176907329.0,3,0.009277,-0.587891,0.823242
176907799.0,1,-0.079973,-0.039986,0.967669
176907868.0,2,0.02799,0.0,0.99566
176907894.0,3,0.01123,-0.585449,0.823242
176908364.0,1,-0.079973,-0.039986,0.967669
176908433.0,2,0.02799,0.0,0.99566
176908459.0,3,0.010254,-0.585449,0.820801
176908928.0,1,-0.079973,-0.039986,0.967669
176908997.0,2,0.02799,0.0,0.99566
176909023.0,3,0.012207,-0.587402,0.818359
176909493.0,1,-0.079973,-0.039986,0.967669
176909562.0,2,0.02799,0.0,0.99566
176909588.0,3,0.009766,-0.588867,0.822266
176910058.0,1,-0.075974,-0.043985,0.963671
176910127.0,2,0.02799,0.0,0.99566
176910152.0,3,0.012207,-0.587402,0.822266
176910622.0,1,-0.075974,-0.043985,0.963671
176910691.0,2,0.02799,0.0,0.99566
176910717.0,3,0.010254,-0.589844,0.822754
176911187.0,1,-0.075974,-0.043985,0.963671
176911256.0,2,0.02799,0.0,0.99566
176911282.0,3,0.007812,-0.588867,0.820801
176911753.0,1,-0.075974,-0.043985,0.963671
176911822.0,2,0.02799,0.0,0.99566
176911847.0,3,0.008789,-0.586914,0.822266
176912317.0,1,-0.075974,-0.043985,0.963671
176912386.0,2,0.02799,0.0,0.99566
176912412.0,3,0.010742,-0.589844,0.821289
176912882.0,1,-0.075974,-0.043985,0.963671
176912951.0,2,0.02799,0.0,0.99566
176912976.0,3,0.009766,-0.590332,0.818848
176913446.0,1,-0.075974,-0.043985,0.963671
176913515.0,2,0.02799,0.0,0.99566
176913541.0,3,0.013184,-0.586426,0.818848
176914011.0,1,-0.075974,-0.043985,0.963671
176914079.0,2,0.02799,0.0,0.99566
176914105.0,3,0.012207,-0.590332,0.822754
176914575.0,1,-0.075974,-0.043985,0.963671
176914644.0,2,0.02799,0.0,0.99566
176914670.0,3,0.013184,-0.588379,0.824707
176915140.0,1,-0.075974,-0.043985,0.963671
176915208.0,2,0.02799,0.0,0.99566
176915234.0,3,0.012207,-0.591797,0.821777
176915704.0,1,-0.075974,-0.043985,0.963671
176915773.0,2,0.02799,0.0,0.99566
176915799.0,3,0.010254,-0.589355,0.820801
176916269.0,1,-0.075974,-0.043985,0.963671
176916337.0,2,0.02799,0.0,0.99566
176916363.0,3,0.008789,-0.586426,0.822266
176916833.0,1,-0.075974,-0.043985,0.963671
176916902.0,2,0.02799,0.0,0.99566
176916928.0,3,0.009766,-0.587402,0.822266
176917398.0,1,-0.075974,-0.043985,0.963671
176917466.0,2,0.02799,0.0,0.99566
176917492.0,3,0.01123,-0.589844,0.816895
176917962.0,1,-0.075974,-0.043985,0.963671
176918031.0,2,0.023992,-0.007997,1.003657
176918058.0,3,0.014648,-0.59082,0.822266
176918528.0,1,-0.075974,-0.043985,0.963671
176918597.0,2,0.023992,-0.007997,1.003657
176918624.0,3,0.010742,-0.586426,0.823242
176919093.0,1,-0.075974,-0.043985,0.963671
176919162.0,2,0.023992,-0.007997,1.003657
176919189.0,3,0.010254,-0.590332,0.82373
176919659.0,1,-0.075974,-0.043985,0.963671
176919728.0,2,0.023992,-0.007997,1.003657
176919755.0,3,0.010254,-0.589355,0.819824
176920224.0,1,-0.071975,-0.039986,0.959672
176920293.0,2,0.023992,-0.007997,1.003657
176920320.0,3,0.01123,-0.588379,0.822754
176920790.0,1,-0.071975,-0.039986,0.959672
176920859.0,2,0.023992,-0.007997,1.003657
176920886.0,3,0.01416,-0.589844,0.82373
176921356.0,1,-0.071975,-0.039986,0.959672
176921425.0,2,0.023992,-0.007997,1.003657
176921452.0,3,0.010742,-0.589355,0.821777
176921922.0,1,-0.071975,-0.039986,0.959672
176921991.0,2,0.023992,-0.007997,1.003657
176922018.0,3,0.012207,-0.588867,0.818848
176922487.0,1,-0.071975,-0.039986,0.959672
176922556.0,2,0.023992,-0.007997,1.003657
176922583.0,3,0.012695,-0.586914,0.822266
176923053.0,1,-0.071975,-0.039986,0.959672
176923122.0,2,0.023992,-0.007997,1.003657
176923149.0,3,0.010254,-0.587891,0.82373
176923619.0,1,-0.071975,-0.039986,0.959672
176923688.0,2,0.023992,-0.007997,1.003657
176923715.0,3,0.012207,-0.591309,0.822754
176924184.0,1,-0.071975,-0.039986,0.959672
176924253.0,2,0.023992,-0.007997,1.003657
176924280.0,3,0.012207,-0.586914,0.823242
176924750.0,1,-0.071975,-0.039986,0.959672
176924819.0,2,0.023992,-0.007997,1.003657
176924846.0,3,0.010742,-0.586426,0.821777
176925316.0,1,-0.071975,-0.039986,0.959672
176925385.0,2,0.023992,-0.007997,1.003657
176925412.0,3,0.010254,-0.589844,0.82373
176925881.0,1,-0.071975,-0.039986,0.959672
176925950.0,2,0.023992,-0.007997,1.003657
176925977.0,3,0.012207,-0.589844,0.820312
176926449.0,1,-0.071975,-0.039986,0.959672
176926518.0,2,0.023992,-0.007997,1.003657
176926545.0,3,0.013184,-0.587402,0.822754
176927014.0,1,-0.071975,-0.039986,0.959672
176927083.0,2,0.023992,-0.007997,1.003657
176927110.0,3,0.011719,-0.588867,0.819824
176927580.0,1,-0.071975,-0.039986,0.959672
176927649.0,2,0.023992,-0.007997,1.003657
176927676.0,3,0.008789,-0.590332,0.821289
176928146.0,1,-0.071975,-0.039986,0.959672
176928215.0,2,0.019993,-0.003999,1.003657
176928242.0,3,0.011719,-0.591309,0.822266
176928711.0,1,-0.071975,-0.039986,0.959672
176928780.0,2,0.019993,-0.003999,1.003657
176928807.0,3,0.013184,-0.589844,0.822266
176929277.0,1,-0.071975,-0.039986,0.959672
176929346.0,2,0.019993,-0.003999,1.003657
176929373.0,3,0.009766,-0.591797,0.821777
176929843.0,1,-0.063978,-0.039986,0.951675
176929912.0,2,0.019993,-0.003999,1.003657
176929939.0,3,0.010254,-0.591797,0.820312
176930410.0,1,-0.063978,-0.039986,0.951675
176930479.0,2,0.019993,-0.003999,1.003657
176930506.0,3,0.013184,-0.590332,0.820801
176930976.0,1,-0.063978,-0.039986,0.951675
176931045.0,2,0.019993,-0.003999,1.003657
176931072.0,3,0.014648,-0.591309,0.822754
176931541.0,1,-0.063978,-0.039986,0.951675
176931610.0,2,0.019993,-0.003999,1.003657
176931637.0,3,0.015137,-0.592773,0.821289
176932107.0,1,-0.063978,-0.039986,0.951675
176932176.0,2,0.019993,-0.003999,1.003657
176932203.0,3,0.015625,-0.59082,0.818848
176932673.0,1,-0.063978,-0.039986,0.951675
176932742.0,2,0.019993,-0.003999,1.003657
176932769.0,3,0.013672,-0.586426,0.821777
176933239.0,1,-0.063978,-0.039986,0.951675
176933307.0,2,0.019993,-0.003999,1.003657
176933334.0,3,0.011719,-0.586914,0.822754
176933804.0,1,-0.063978,-0.039986,0.951675
176933873.0,2,0.019993,-0.003999,1.003657
176933900.0,3,0.011719,-0.590332,0.821777
176934370.0,1,-0.063978,-0.039986,0.951675
176934439.0,2,0.019993,-0.003999,1.003657
176934466.0,3,0.011719,-0.591309,0.820801
176934936.0,1,-0.063978,-0.039986,0.951675
176935004.0,2,0.019993,-0.003999,1.003657
176935031.0,3,0.012207,-0.588867,0.820312
176935503.0,1,-0.063978,-0.039986,0.951675
176935572.0,2,0.019993,-0.003999,1.003657
176935599.0,3,0.013184,-0.591309,0.820801
176936069.0,1,-0.063978,-0.039986,0.951675
176936138.0,2,0.019993,-0.003999,1.003657
176936165.0,3,0.007812,-0.592285,0.821777
176936636.0,1,-0.063978,-0.039986,0.951675
176936705.0,2,0.019993,-0.003999,1.003657
176936732.0,3,0.015137,-0.588867,0.818848
176937202.0,1,-0.063978,-0.039986,0.951675
176937271.0,2,0.019993,-0.003999,1.003657
176937298.0,3,0.013184,-0.587891,0.825195
176937767.0,1,-0.063978,-0.039986,0.951675
176937836.0,2,0.019993,-0.003999,1.003657
176937863.0,3,0.01416,-0.591309,0.821289
176938333.0,1,-0.063978,-0.039986,0.951675
176938402.0,2,0.031989,-0.011996,0.991661
176938429.0,3,0.01123,-0.591309,0.819824
176938899.0,1,-0.063978,-0.039986,0.951675
176938968.0,2,0.031989,-0.011996,0.991661
176938995.0,3,0.01416,-0.591309,0.819336
176939464.0,1,-0.063978,-0.039986,0.951675
176939533.0,2,0.031989,-0.011996,0.991661
176939560.0,3,0.015137,-0.591797,0.823242
176940030.0,1,-0.071975,-0.043985,0.959672
176940099.0,2,0.031989,-0.011996,0.991661
176940126.0,3,0.012207,-0.588867,0.820312
176940597.0,1,-0.071975,-0.043985,0.959672
176940666.0,2,0.031989,-0.011996,0.991661
176940693.0,3,0.009277,-0.59082,0.819824
176941163.0,1,-0.071975,-0.043985,0.959672
176941232.0,2,0.031989,-0.011996,0.991661
176941259.0,3,0.012207,-0.59082,0.820801
176941729.0,1,-0.071975,-0.043985,0.959672
176941798.0,2,0.031989,-0.011996,0.991661
176941825.0,3,0.011719,-0.588867,0.816406
176942294.0,1,-0.071975,-0.043985,0.959672
